"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/05/2025","3.330,10","3.354,60","3.361,40","3.310,00","0,19K","-0,85%"
"29/05/2025","3.358,70","3.328,60","3.368,10","3.290,00","0,32K","1,09%"
"28/05/2025","3.322,40","3.328,60","3.352,00","3.301,00","184,89K","-0,18%"
"27/05/2025","3.328,30","3.385,00","3.385,00","3.311,40","132,78K","-1,37%"
"26/05/2025","3.374,47","3.370,17","3.384,00","3.352,50","29,79K","0,12%"
"25/05/2025","3.370,27","3.384,00","3.384,12","3.367,94","65,79K","-0,71%"
"23/05/2025","3.394,50","3.323,20","3.395,30","3.314,40","71,08K","2,13%"
"22/05/2025","3.323,60","3.346,50","3.375,30","3.306,90","52,14K","-0,55%"
"21/05/2025","3.341,90","3.321,20","3.355,50","3.315,30","50,60K","0,88%"
"20/05/2025","3.312,60","3.260,70","3.326,40","3.235,30","30,44K","1,57%"
"19/05/2025","3.261,40","3.246,00","3.280,00","3.236,20","21,05K","2,33%"
"16/05/2025","3.187,20","3.243,50","3.255,80","3.156,40","245,49K","-1,22%"
"15/05/2025","3.226,60","3.180,80","3.244,30","3.123,30","253,06K","1,20%"
"14/05/2025","3.188,30","3.254,10","3.261,30","3.170,70","233,93K","-1,83%"
"13/05/2025","3.247,80","3.240,70","3.270,40","3.220,10","214,42K","0,61%"
"12/05/2025","3.228,00","3.281,00","3.295,50","3.211,20","308,53K","-3,47%"
"09/05/2025","3.344,00","3.310,20","3.352,70","3.278,90","232,46K","1,15%"
"08/05/2025","3.306,00","3.373,10","3.422,00","3.293,30","327,13K","-2,53%"
"07/05/2025","3.391,90","3.448,10","3.448,20","3.367,00","304,24K","-0,90%"
"06/05/2025","3.422,80","3.345,70","3.444,50","3.332,10","268,10K","3,03%"
"05/05/2025","3.322,30","3.247,10","3.346,70","3.243,10","184,90K","2,44%"
"02/05/2025","3.243,30","3.247,60","3.277,00","3.229,50","210,99K","0,65%"
"01/05/2025","3.222,20","3.299,00","3.300,60","3.209,40","214,69K","-2,92%"
"30/04/2025","3.319,10","3.324,50","3.337,60","3.275,60","207,72K","-0,43%"
"29/04/2025","3.333,60","3.354,90","3.359,30","3.309,20","170,15K","0,02%"
"28/04/2025","3.333,00","3.318,30","3.347,70","3.266,30","1,30K","1,05%"
"25/04/2025","3.298,40","3.362,00","3.384,10","3.274,80","241,25K","-1,50%"
"24/04/2025","3.348,60","3.301,80","3.377,00","3.301,30","239,60K","1,65%"
"23/04/2025","3.294,10","3.367,70","3.396,00","3.270,80","377,41K","-3,66%"
"22/04/2025","3.419,40","3.435,10","3.509,90","3.379,10","423,08K","-0,17%"
"21/04/2025","3.425,30","3.347,00","3.442,30","3.344,00","243,46K","2,91%"
"17/04/2025","3.328,40","3.357,50","3.371,90","3.296,40","242,07K","-0,54%"
"16/04/2025","3.346,40","3.248,40","3.358,40","3.245,20","258,38K","3,27%"
"15/04/2025","3.240,40","3.226,10","3.250,90","3.225,50","123,47K","0,44%"
"14/04/2025","3.226,30","3.246,00","3.261,60","3.208,70","189,62K","-0,56%"
"11/04/2025","3.244,60","3.194,20","3.263,00","3.193,40","247,32K","2,11%"
"10/04/2025","3.177,50","3.099,10","3.195,00","3.086,10","234,97K","3,19%"
"09/04/2025","3.079,40","2.998,30","3.118,50","2.983,30","298,33K","2,98%"
"08/04/2025","2.990,20","2.997,50","3.037,90","2.988,60","197,58K","0,56%"
"07/04/2025","2.973,60","3.055,10","3.084,40","2.970,40","328,52K","-2,04%"
"04/04/2025","3.035,40","3.138,00","3.160,20","3.032,70","341,15K","-2,76%"
"03/04/2025","3.121,70","3.196,60","3.196,60","3.073,50","382,86K","-1,41%"
"02/04/2025","3.166,20","3.147,50","3.201,60","3.135,70","223,12K","0,64%"
"01/04/2025","3.146,00","3.157,30","3.177,00","3.130,50","197,31K","-0,14%"
"31/03/2025","3.150,30","3.118,80","3.162,00","3.112,40","228,39K","1,16%"
"28/03/2025","3.114,30","3.099,30","3.124,40","3.096,30","210,49K","1,25%"
"27/03/2025","3.075,80","3.040,90","3.086,00","3.038,90","2,86K","1,27%"
"26/03/2025","3.037,30","3.039,50","3.049,70","3.032,80","1,68K","-0,08%"
"25/03/2025","3.039,60","3.030,60","3.055,40","3.025,90","1,37K","-0,14%"
"24/03/2025","3.044,00","3.054,70","3.066,40","3.036,00","96,48K","-0,14%"
"21/03/2025","3.048,40","3.080,10","3.082,20","3.031,20","46,90K","-0,75%"
"20/03/2025","3.071,30","3.085,60","3.092,80","3.060,30","28,81K","0,07%"
"19/03/2025","3.069,10","3.069,30","3.089,40","3.059,20","19,96K","0,01%"
"18/03/2025","3.068,90","3.036,90","3.075,10","3.036,00","28,60K","1,15%"
"17/03/2025","3.034,10","3.021,20","3.038,60","3.019,50","17,36K","1,10%"
"14/03/2025","3.001,10","3.001,40","3.017,10","2.988,60","181,49K","0,33%"
"13/03/2025","2.991,30","2.943,30","3.001,50","2.942,20","256,56K","1,51%"
"12/03/2025","2.946,80","2.922,30","2.948,90","2.911,00","209,82K","0,89%"
"11/03/2025","2.920,90","2.893,20","2.929,00","2.882,50","194,12K","0,74%"
"10/03/2025","2.899,40","2.919,60","2.926,40","2.885,20","221,61K","-0,50%"
"07/03/2025","2.914,10","2.919,20","2.938,80","2.905,30","237,58K","-0,43%"
"06/03/2025","2.926,60","2.929,50","2.935,90","2.897,60","166,36K","0,02%"
"05/03/2025","2.926,00","2.929,00","2.941,30","2.903,40","183,02K","0,18%"
"04/03/2025","2.920,60","2.904,20","2.939,80","2.892,50","188,52K","0,67%"
"03/03/2025","2.901,10","2.872,00","2.906,40","2.866,30","177,02K","1,85%"
"28/02/2025","2.848,50","2.889,00","2.896,10","2.844,10","210,56K","-1,64%"
"27/02/2025","2.895,90","2.931,40","2.935,80","2.879,00","207,65K","-0,75%"
"26/02/2025","2.917,80","2.915,60","2.926,40","2.891,00","2,05K","0,41%"
"25/02/2025","2.906,00","2.955,90","2.955,90","2.884,50","5,59K","-1,48%"
"24/02/2025","2.949,70","2.939,30","2.960,00","2.926,40","2,00K","-0,12%"
"21/02/2025","2.953,20","2.955,70","2.964,70","2.930,10","163,69K","-0,10%"
"20/02/2025","2.956,10","2.949,50","2.973,40","2.939,30","172,20K","0,68%"
"19/02/2025","2.936,10","2.954,10","2.964,40","2.933,70","159,34K","-0,44%"
"18/02/2025","2.949,00","2.895,10","2.956,50","2.887,60","218,76K","1,67%"
"14/02/2025","2.900,70","2.957,30","2.964,10","2.889,90","228,08K","-1,52%"
"13/02/2025","2.945,40","2.928,80","2.958,80","2.925,80","169,50K","0,57%"
"12/02/2025","2.928,70","2.927,00","2.936,50","2.886,50","204,63K","-0,13%"
"11/02/2025","2.932,60","2.937,00","2.968,50","2.907,00","218,48K","-0,06%"
"10/02/2025","2.934,40","2.884,80","2.938,10","2.879,90","167,23K","1,62%"
"07/02/2025","2.887,60","2.880,20","2.910,60","2.876,10","192,55K","0,38%"
"06/02/2025","2.876,70","2.885,00","2.894,20","2.855,00","167,70K","-0,56%"
"05/02/2025","2.893,00","2.873,70","2.906,00","2.870,10","167,38K","0,60%"
"04/02/2025","2.875,80","2.850,40","2.877,10","2.837,40","145,86K","0,65%"
"03/02/2025","2.857,10","2.846,50","2.872,00","2.802,20","181,34K","0,78%"
"31/01/2025","2.835,00","2.851,90","2.862,90","2.826,00","165,68K","-0,36%"
"30/01/2025","2.845,20","2.796,20","2.853,20","2.794,90","188,34K","2,29%"
"29/01/2025","2.781,50","2.784,90","2.790,10","2.772,80","3,98K","0,02%"
"28/01/2025","2.781,00","2.757,00","2.786,90","2.752,90","3,42K","1,04%"
"27/01/2025","2.752,40","2.791,00","2.791,00","2.746,80","3,94K","-1,44%"
"24/01/2025","2.792,70","2.779,30","2.808,10","2.779,30","1,10K","0,52%"
"23/01/2025","2.778,30","2.778,10","2.780,20","2.754,70","1,83K","-0,68%"
"22/01/2025","2.797,40","2.784,50","2.800,30","2.782,50","39,59K","0,42%"
"21/01/2025","2.785,60","2.766,00","2.788,40","2.741,50","56,80K","1,34%"
"17/01/2025","2.748,70","2.746,80","2.759,20","2.729,20","156,87K","-0,08%"
"16/01/2025","2.750,90","2.722,30","2.757,90","2.720,40","186,54K","1,22%"
"15/01/2025","2.717,80","2.693,30","2.722,70","2.685,40","193,72K","1,32%"
"14/01/2025","2.682,30","2.682,00","2.693,70","2.672,00","179,41K","0,14%"
"13/01/2025","2.678,60","2.716,80","2.723,80","2.675,20","211,09K","-1,34%"
"10/01/2025","2.715,00","2.692,90","2.735,00","2.686,90","298,41K","0,90%"
"09/01/2025","2.690,80","2.679,90","2.696,80","2.673,70","156,65K","0,69%"
"08/01/2025","2.672,40","2.662,90","2.687,00","2.658,40","197,37K","0,26%"
"07/01/2025","2.665,40","2.647,10","2.678,50","2.643,50","161,62K","0,68%"
"06/01/2025","2.647,40","2.652,80","2.663,80","2.624,60","169,92K","-0,27%"
"03/01/2025","2.654,70","2.671,10","2.681,00","2.649,70","121,17K","-0,54%"
"02/01/2025","2.669,00","2.641,00","2.674,20","2.636,10","144,52K","1,06%"
"31/12/2024","2.641,00","2.620,00","2.642,00","2.614,30","86,29K","0,87%"
"30/12/2024","2.618,10","2.636,10","2.640,70","2.608,40","110,92K","-0,01%"
"27/12/2024","2.618,40","2.639,70","2.639,70","2.612,10","0,64K","-0,83%"
"26/12/2024","2.640,30","2.623,30","2.642,40","2.622,80","1,40K","0,67%"
"24/12/2024","2.622,80","2.616,50","2.622,70","2.612,50","0,42K","0,28%"
"23/12/2024","2.615,50","2.627,30","2.632,90","2.610,20","0,56K","-0,65%"
"20/12/2024","2.632,50","2.597,70","2.640,70","2.595,70","0,51K","1,41%"
"19/12/2024","2.596,00","2.586,00","2.625,00","2.585,90","0,90K","-1,70%"
"18/12/2024","2.640,80","2.651,20","2.654,30","2.587,20","0,88K","-0,33%"
"17/12/2024","2.649,60","2.657,20","2.662,50","2.634,30","0,63K","-0,28%"
"16/12/2024","2.657,00","2.654,60","2.669,70","2.648,30","1,41K","-0,20%"
"13/12/2024","2.662,40","2.690,20","2.702,10","2.650,60","1,07K","-1,21%"
"12/12/2024","2.695,10","2.737,80","2.743,50","2.683,30","1,69K","-1,69%"
"11/12/2024","2.741,50","2.708,80","2.743,80","2.700,30","3,82K","1,33%"
"10/12/2024","2.705,60","2.669,80","2.708,80","2.669,80","1,41K","1,21%"
"09/12/2024","2.673,30","2.654,50","2.687,00","2.637,50","0,96K","0,99%"
"06/12/2024","2.647,10","2.642,40","2.655,00","2.629,50","0,80K","0,42%"
"05/12/2024","2.636,10","2.661,90","2.667,30","2.634,50","1,67K","-1,06%"
"04/12/2024","2.664,30","2.651,30","2.670,00","2.643,80","0,85K","0,32%"
"03/12/2024","2.655,90","2.652,00","2.665,00","2.645,00","0,61K","0,36%"
"02/12/2024","2.646,50","2.663,70","2.663,90","2.633,50","0,97K","-0,84%"
"29/11/2024","2.669,00","2.649,70","2.678,10","2.631,80","1,35K","0,63%"
"27/11/2024","2.652,30","2.646,40","2.670,70","2.641,10","2,27K","1,18%"
"26/11/2024","2.621,30","2.626,20","2.642,70","2.605,30","177,86K","0,11%"
"25/11/2024","2.618,50","2.716,90","2.723,20","2.616,60","305,34K","-3,45%"
"22/11/2024","2.712,20","2.672,00","2.718,50","2.670,10","220,55K","1,39%"
"21/11/2024","2.674,90","2.653,50","2.676,50","2.651,60","186,30K","0,87%"
"20/11/2024","2.651,70","2.635,80","2.659,00","2.621,90","182,01K","0,79%"
"19/11/2024","2.631,00","2.616,30","2.643,40","2.614,20","202,24K","0,63%"
"18/11/2024","2.614,60","2.571,50","2.619,50","2.568,50","195,29K","1,73%"
"15/11/2024","2.570,10","2.570,40","2.580,80","2.558,90","179,89K","-0,11%"
"14/11/2024","2.572,90","2.578,10","2.585,80","2.541,50","266,16K","-0,53%"
"13/11/2024","2.586,50","2.604,70","2.625,00","2.578,10","262,75K","-0,76%"
"12/11/2024","2.606,30","2.625,70","2.633,40","2.595,70","282,77K","-0,44%"
"11/11/2024","2.617,70","2.692,10","2.693,40","2.617,10","281,92K","-2,86%"
"08/11/2024","2.694,80","2.713,60","2.717,80","2.687,30","233,11K","-0,41%"
"07/11/2024","2.705,80","2.667,70","2.718,30","2.650,30","292,92K","1,10%"
"06/11/2024","2.676,30","2.752,60","2.758,80","2.660,70","361,31K","-2,67%"
"05/11/2024","2.749,70","2.746,00","2.759,50","2.733,40","151,43K","0,13%"
"04/11/2024","2.746,20","2.743,50","2.757,50","2.739,40","145,25K","-0,11%"
"01/11/2024","2.749,20","2.754,00","2.772,40","2.742,60","180,66K","0,00%"
"31/10/2024","2.749,30","2.799,10","2.801,20","2.741,80","242,57K","-1,84%"
"30/10/2024","2.800,80","2.786,90","2.801,80","2.782,40","191,55K","1,16%"
"29/10/2024","2.768,80","2.741,90","2.773,20","2.741,90","0,85K","0,92%"
"28/10/2024","2.743,60","2.739,40","2.745,60","2.725,80","0,57K","0,05%"
"25/10/2024","2.742,20","2.735,40","2.747,20","2.716,90","0,26K","0,21%"
"24/10/2024","2.736,50","2.717,40","2.743,30","2.717,40","0,34K","0,71%"
"23/10/2024","2.717,10","2.748,90","2.758,50","2.709,90","0,65K","-1,10%"
"22/10/2024","2.747,40","2.723,10","2.749,50","2.721,80","0,43K","0,76%"
"21/10/2024","2.726,80","2.724,30","2.742,60","2.716,90","0,41K","0,32%"
"18/10/2024","2.718,00","2.696,20","2.725,60","2.696,20","0,22K","0,83%"
"17/10/2024","2.695,50","2.676,90","2.700,50","2.676,90","0,27K","0,60%"
"16/10/2024","2.679,30","2.666,80","2.689,50","2.666,00","0,38K","0,46%"
"15/10/2024","2.667,00","2.654,60","2.673,80","2.643,10","0,24K","0,50%"
"14/10/2024","2.653,70","2.659,90","2.671,30","2.648,40","0,39K","-0,40%"
"11/10/2024","2.664,40","2.634,40","2.666,80","2.634,40","0,31K","1,41%"
"10/10/2024","2.627,40","2.614,80","2.636,90","2.608,80","0,88K","0,51%"
"09/10/2024","2.614,10","2.628,80","2.630,60","2.612,00","0,77K","-0,36%"
"08/10/2024","2.623,50","2.649,60","2.660,40","2.612,70","1,05K","-1,15%"
"07/10/2024","2.654,00","2.658,80","2.666,60","2.646,00","0,39K","-0,08%"
"04/10/2024","2.656,00","2.663,00","2.678,20","2.641,90","0,85K","-0,43%"
"03/10/2024","2.667,40","2.668,30","2.670,70","2.646,50","0,65K","0,35%"
"02/10/2024","2.658,10","2.671,10","2.672,40","2.653,30","0,34K","-0,76%"
"01/10/2024","2.678,50","2.644,40","2.681,70","2.644,40","0,46K","1,16%"
"30/09/2024","2.647,90","2.667,90","2.675,20","2.636,80","0,55K","-0,32%"
"27/09/2024","2.656,50","2.682,30","2.684,00","2.655,00","0,64K","-0,52%"
"26/09/2024","2.670,40","2.656,80","2.683,90","2.653,40","17,22K","0,36%"
"25/09/2024","2.660,70","2.658,70","2.670,50","2.649,80","21,76K","0,29%"
"24/09/2024","2.653,00","2.628,60","2.665,10","2.623,50","13,09K","0,93%"
"23/09/2024","2.628,60","2.622,50","2.635,70","2.615,40","8,70K","0,24%"
"20/09/2024","2.622,40","2.588,10","2.626,50","2.585,40","9,30K","1,22%"
"19/09/2024","2.590,90","2.561,60","2.597,00","2.552,10","8,60K","0,62%"
"18/09/2024","2.574,90","2.573,40","2.603,70","2.549,40","10,66K","0,23%"
"17/09/2024","2.568,90","2.586,30","2.590,00","2.564,10","6,95K","-0,63%"
"16/09/2024","2.585,20","2.584,80","2.593,40","2.578,80","4,57K","-0,06%"
"13/09/2024","2.586,80","2.565,10","2.590,60","2.562,00","10,05K","1,16%"
"12/09/2024","2.557,10","2.517,90","2.564,80","2.515,50","9,29K","1,51%"
"11/09/2024","2.519,00","2.522,00","2.534,40","2.505,70","4,91K","-0,02%"
"10/09/2024","2.519,50","2.511,60","2.523,90","2.505,60","5,90K","0,41%"
"09/09/2024","2.509,30","2.503,20","2.512,70","2.491,30","4,64K","0,31%"
"06/09/2024","2.501,50","2.523,70","2.536,10","2.490,70","6,27K","-0,72%"
"05/09/2024","2.519,70","2.502,30","2.530,50","2.500,70","6,72K","0,68%"
"04/09/2024","2.502,70","2.500,40","2.507,80","2.479,80","5,94K","0,12%"
"03/09/2024","2.499,70","2.509,00","2.516,30","2.481,60","10,28K","-0,19%"
"30/08/2024","2.504,50","2.530,70","2.536,20","2.503,90","6,48K","-1,27%"
"29/08/2024","2.536,70","2.516,60","2.538,70","2.513,80","10,79K","1,36%"
"28/08/2024","2.502,60","2.525,20","2.526,40","2.493,20","2,35K","-0,60%"
"27/08/2024","2.517,70","2.517,60","2.525,20","2.504,40","0,65K","-0,10%"
"26/08/2024","2.520,20","2.512,60","2.527,70","2.509,30","0,66K","0,36%"
"23/08/2024","2.511,20","2.486,20","2.518,70","2.486,10","0,75K","1,17%"
"22/08/2024","2.482,10","2.515,60","2.516,00","2.472,60","0,74K","-1,22%"
"21/08/2024","2.512,80","2.517,40","2.522,00","2.495,00","0,60K","-0,13%"
"20/08/2024","2.516,10","2.507,70","2.535,40","2.502,10","0,66K","0,37%"
"19/08/2024","2.506,80","2.512,80","2.513,80","2.489,30","0,78K","0,13%"
"16/08/2024","2.503,60","2.460,20","2.513,80","2.454,60","0,59K","1,83%"
"15/08/2024","2.458,60","2.452,00","2.471,80","2.437,10","0,53K","0,51%"
"14/08/2024","2.446,20","2.470,60","2.485,40","2.443,00","0,56K","-1,12%"
"13/08/2024","2.473,90","2.477,30","2.482,50","2.464,20","0,37K","0,16%"
"12/08/2024","2.469,90","2.436,00","2.478,00","2.430,00","0,73K","1,23%"
"09/08/2024","2.439,80","2.431,90","2.441,70","2.424,10","0,70K","0,39%"
"08/08/2024","2.430,30","2.389,50","2.433,90","2.388,00","0,58K","1,26%"
"07/08/2024","2.400,00","2.398,60","2.414,20","2.387,00","0,46K","0,05%"
"06/08/2024","2.398,90","2.420,90","2.431,20","2.390,20","0,50K","-0,53%"
"05/08/2024","2.411,80","2.458,50","2.466,10","2.373,80","1,13K","-1,00%"
"02/08/2024","2.436,20","2.456,40","2.487,60","2.420,50","2,46K","-0,40%"
"01/08/2024","2.445,90","2.458,80","2.470,80","2.439,10","1,15K","0,30%"
"31/07/2024","2.438,50","2.420,80","2.461,10","2.415,40","1,32K","0,86%"
"30/07/2024","2.417,60","2.392,80","2.422,40","2.388,80","3,57K","1,67%"
"29/07/2024","2.377,80","2.386,90","2.402,10","2.367,30","126,41K","-0,13%"
"26/07/2024","2.381,00","2.363,80","2.389,70","2.354,60","154,52K","1,17%"
"25/07/2024","2.353,50","2.398,10","2.400,80","2.351,90","294,90K","-2,57%"
"24/07/2024","2.415,70","2.410,70","2.433,00","2.397,00","245,88K","0,35%"
"23/07/2024","2.407,30","2.398,00","2.413,50","2.389,20","171,19K","0,53%"
"22/07/2024","2.394,70","2.403,70","2.414,40","2.385,20","197,56K","-0,18%"
"19/07/2024","2.399,10","2.448,00","2.448,40","2.395,70","254,41K","-2,33%"
"18/07/2024","2.456,40","2.462,50","2.478,50","2.442,90","192,77K","-0,14%"
"17/07/2024","2.459,90","2.473,20","2.488,40","2.455,50","259,54K","-0,32%"
"16/07/2024","2.467,80","2.427,10","2.474,50","2.424,50","246,09K","1,60%"
"15/07/2024","2.428,90","2.419,30","2.445,00","2.406,10","193,54K","0,34%"
"12/07/2024","2.420,70","2.421,00","2.423,20","2.396,10","220,93K","-0,05%"
"11/07/2024","2.421,90","2.377,40","2.430,40","2.376,80","303,52K","1,77%"
"10/07/2024","2.379,70","2.371,00","2.393,40","2.369,70","163,90K","0,50%"
"09/07/2024","2.367,90","2.366,50","2.378,30","2.356,00","252,49K","0,19%"
"08/07/2024","2.363,50","2.396,20","2.399,30","2.358,30","240,78K","-1,43%"
"05/07/2024","2.397,70","2.365,80","2.401,50","2.356,00","293,25K","1,40%"
"04/07/2024","2.364,60","2.367,20","2.371,05","2.359,35","","-0,20%"
"03/07/2024","2.369,40","2.338,60","2.374,50","2.335,70","193,64K","1,54%"
"02/07/2024","2.333,40","2.341,60","2.346,10","2.327,40","153,71K","-0,24%"
"01/07/2024","2.338,90","2.336,20","2.348,80","2.328,20","142,60K","-0,03%"
"28/06/2024","2.339,60","2.338,60","2.350,60","2.329,70","135,38K","0,13%"
"27/06/2024","2.336,60","2.309,40","2.342,00","2.306,80","140,23K","1,55%"
"26/06/2024","2.301,00","2.318,80","2.320,50","2.292,90","0,99K","-0,75%"
"25/06/2024","2.318,40","2.334,40","2.336,20","2.314,80","1,26K","-0,60%"
"24/06/2024","2.332,40","2.322,10","2.334,70","2.318,00","0,60K","0,57%"
"21/06/2024","2.319,10","2.361,50","2.370,00","2.318,00","0,60K","-1,61%"
"20/06/2024","2.357,00","2.331,40","2.367,00","2.327,00","0,83K","0,60%"
"19/06/2024","2.343,00","2.342,95","2.349,65","2.338,60","","0,35%"
"18/06/2024","2.334,80","2.323,30","2.334,50","2.309,10","0,39K","0,77%"
"17/06/2024","2.316,90","2.336,00","2.336,00","2.312,40","0,45K","-0,86%"
"14/06/2024","2.337,00","2.306,30","2.339,30","2.305,80","0,42K","1,35%"
"13/06/2024","2.305,90","2.328,40","2.330,20","2.299,20","0,65K","-1,57%"
"12/06/2024","2.342,70","2.321,70","2.345,10","2.315,70","0,60K","1,21%"
"11/06/2024","2.314,60","2.315,70","2.325,20","2.303,30","0,79K","-0,02%"
"10/06/2024","2.315,10","2.299,50","2.319,30","2.292,90","0,75K","0,08%"
"07/06/2024","2.313,20","2.383,60","2.394,30","2.293,10","1,30K","-2,76%"
"06/06/2024","2.378,90","2.363,80","2.385,20","2.361,40","0,88K","0,65%"
"05/06/2024","2.363,60","2.335,50","2.365,20","2.335,10","0,59K","1,19%"
"04/06/2024","2.335,70","2.360,20","2.361,00","2.324,50","1,40K","-0,92%"
"03/06/2024","2.357,50","2.335,00","2.363,50","2.323,90","0,77K","1,01%"
"31/05/2024","2.333,90","2.352,40","2.368,60","2.330,00","1,21K","-0,88%"
"30/05/2024","2.354,70","2.357,90","2.360,70","2.332,10","2,72K","0,58%"
"29/05/2024","2.341,20","2.362,50","2.363,70","2.334,20","119,32K","-0,65%"
"28/05/2024","2.356,50","2.338,00","2.365,50","2.333,80","316,22K","0,00%"
"27/05/2024","2.356,50","2.338,00","2.365,50","2.333,80","105,47K","0,94%"
"24/05/2024","2.334,50","2.330,40","2.349,00","2.326,30","178,34K","-0,12%"
"23/05/2024","2.337,20","2.383,00","2.385,70","2.328,10","273,66K","-2,33%"
"22/05/2024","2.392,90","2.425,40","2.430,50","2.378,00","253,85K","-1,36%"
"21/05/2024","2.425,90","2.431,50","2.438,20","2.408,50","229,42K","-0,52%"
"20/05/2024","2.438,50","2.422,20","2.454,20","2.411,10","281,43K","0,87%"
"17/05/2024","2.417,40","2.381,40","2.427,40","2.377,80","218,55K","1,34%"
"16/05/2024","2.385,50","2.391,50","2.402,70","2.375,20","191,03K","-0,39%"
"15/05/2024","2.394,90","2.362,90","2.396,10","2.357,10","249,84K","1,48%"
"14/05/2024","2.359,90","2.342,30","2.365,20","2.340,50","192,08K","0,72%"
"13/05/2024","2.343,00","2.369,10","2.370,80","2.337,60","243,08K","-1,35%"
"10/05/2024","2.375,00","2.353,50","2.385,30","2.352,00","275,24K","1,48%"
"09/05/2024","2.340,30","2.316,50","2.354,20","2.312,90","249,09K","0,78%"
"08/05/2024","2.322,30","2.322,00","2.329,60","2.311,40","214,69K","-0,08%"
"07/05/2024","2.324,20","2.334,80","2.338,70","2.318,20","204,62K","-0,30%"
"06/05/2024","2.331,20","2.312,80","2.341,90","2.300,60","191,90K","0,98%"
"03/05/2024","2.308,60","2.313,50","2.330,70","2.285,20","231,40K","-0,04%"
"02/05/2024","2.309,60","2.329,90","2.336,10","2.294,30","193,66K","-0,06%"
"01/05/2024","2.311,00","2.298,20","2.339,50","2.291,70","227,38K","0,35%"
"30/04/2024","2.302,90","2.347,00","2.347,60","2.296,20","229,06K","-2,32%"
"29/04/2024","2.357,70","2.347,60","2.358,90","2.331,00","187,31K","0,97%"
"26/04/2024","2.335,00","2.333,10","2.350,50","2.326,60","0,72K","0,20%"
"25/04/2024","2.330,30","2.317,80","2.344,80","2.306,40","0,99K","0,18%"
"24/04/2024","2.326,00","2.324,00","2.338,00","2.313,60","0,78K","-0,17%"
"23/04/2024","2.329,90","2.332,20","2.336,00","2.293,60","0,79K","-0,20%"
"22/04/2024","2.334,60","2.391,50","2.391,50","2.327,30","1,03K","-2,78%"
"19/04/2024","2.401,40","2.381,10","2.418,10","2.374,70","1,61K","0,65%"
"18/04/2024","2.385,80","2.366,10","2.395,70","2.366,10","2,55K","0,40%"
"17/04/2024","2.376,20","2.387,90","2.399,50","2.359,90","0,58K","-0,81%"
"16/04/2024","2.395,50","2.387,00","2.402,20","2.367,40","1,27K","1,04%"
"15/04/2024","2.370,90","2.357,30","2.392,00","2.330,10","1,67K","0,38%"
"12/04/2024","2.362,00","2.377,70","2.436,60","2.338,40","2,20K","0,05%"
"11/04/2024","2.360,80","2.340,50","2.382,90","2.331,60","0,98K","1,04%"
"10/04/2024","2.336,60","2.358,90","2.365,80","2.325,70","1,62K","-0,60%"
"09/04/2024","2.350,60","2.344,40","2.372,50","2.344,40","1,56K","0,50%"
"08/04/2024","2.339,00","2.332,20","2.357,00","2.310,50","1,31K","0,23%"
"05/04/2024","2.333,70","2.298,70","2.337,60","2.276,50","0,91K","1,60%"
"04/04/2024","2.296,90","2.308,90","2.312,00","2.288,40","0,99K","-0,28%"
"03/04/2024","2.303,30","2.290,00","2.310,00","2.275,10","1,23K","1,45%"
"02/04/2024","2.270,30","2.260,20","2.290,10","2.256,10","1,70K","1,09%"
"01/04/2024","2.245,90","2.243,50","2.275,00","2.238,50","1,10K","0,84%"
"28/03/2024","2.227,10","2.203,90","2.243,50","2.196,10","1,62K","1,17%"
"27/03/2024","2.201,40","2.188,90","2.206,50","2.182,80","1,21K","1,11%"
"26/03/2024","2.177,20","2.173,00","2.200,60","2.168,30","202,37K","0,04%"
"25/03/2024","2.176,40","2.166,60","2.182,50","2.164,40","211,61K","0,76%"
"22/03/2024","2.160,00","2.183,40","2.188,00","2.158,40","205,81K","-1,13%"
"21/03/2024","2.184,70","2.190,20","2.225,30","2.168,20","391,75K","1,10%"
"20/03/2024","2.161,00","2.161,40","2.192,20","2.152,30","233,57K","0,06%"
"19/03/2024","2.159,70","2.164,00","2.166,30","2.150,20","178,16K","-0,21%"
"18/03/2024","2.164,30","2.159,90","2.167,20","2.149,20","211,86K","0,13%"
"15/03/2024","2.161,50","2.166,20","2.176,90","2.158,70","187,85K","-0,28%"
"14/03/2024","2.167,50","2.179,50","2.181,30","2.157,00","207,23K","-0,61%"
"13/03/2024","2.180,80","2.163,60","2.185,60","2.161,30","232,27K","0,68%"
"12/03/2024","2.166,10","2.189,10","2.190,80","2.156,20","316,25K","-1,03%"
"11/03/2024","2.188,60","2.187,60","2.195,50","2.180,90","242,42K","0,14%"
"08/03/2024","2.185,50","2.166,60","2.203,00","2.161,20","389,68K","0,94%"
"07/03/2024","2.165,20","2.156,70","2.172,20","2.151,70","267,80K","0,32%"
"06/03/2024","2.158,20","2.136,40","2.160,70","2.131,90","319,76K","0,76%"
"05/03/2024","2.141,90","2.123,30","2.150,50","2.118,50","283,15K","0,73%"
"04/03/2024","2.126,30","2.091,60","2.128,40","2.088,10","328,25K","1,46%"
"01/03/2024","2.095,70","2.052,80","2.097,10","2.047,00","330,59K","2,00%"
"29/02/2024","2.054,70","2.043,80","2.059,40","2.036,00","227,07K","0,59%"
"28/02/2024","2.042,70","2.039,70","2.047,40","2.033,40","137,08K","0,41%"
